Episodes,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,mean,top,bottom
214,31,53,70,56,61,32,48,71,104,38,30,38,144,50,109,58.35,89.3496179943,27.3503820057
215,38,56,43,37,37,27,39,31,66,35,73,29,49,42,31,44.9,60.7177115918,29.0822884082
216,28,32,75,30,25,61,49,51,78,37,90,52,61,40,47,50.1,67.450564984,32.749435016
217,35,38,39,63,107,47,74,45,51,33,33,39,30,34,46,45.4,63.6681776811,27.1318223189
218,63,22,40,36,34,41,47,48,39,62,54,39,87,40,53,50.3,69.9872921877,30.6127078123
219,47,26,83,73,32,27,23,47,73,43,34,28,27,46,110,47.45,70.0436064547,24.8563935453
220,51,133,33,27,42,27,44,34,55,58,27,55,29,30,25,44.5,68.5820964291,20.4179035709
221,51,116,42,63,81,80,31,52,29,86,84,41,48,57,55,57.7,80.5152765073,34.8847234927
222,40,24,87,31,78,24,51,88,65,64,73,62,64,31,38,52.85,72.9792533917,32.7207466083
223,35,72,32,60,30,38,56,41,50,49,54,83,57,38,95,49.3,67.6449405043,30.9550594957
224,74,72,52,45,75,27,40,31,61,146,22,51,30,47,31,53.7,81.6135884661,25.7864115339
225,38,58,35,42,45,61,30,33,66,48,67,57,57,34,59,47.35,60.0666488469,34.6333511531
226,34,70,87,38,37,84,69,24,44,31,43,25,44,43,20,45.8,67.5439646799,24.0560353201
227,25,57,66,63,45,34,34,37,60,95,50,49,133,52,29,50.95,76.5531967576,25.3468032424
228,25,33,30,67,53,49,28,61,26,39,42,40,45,47,41,40.35,52.4777194454,28.2222805546
229,29,41,22,29,42,39,25,67,52,47,40,84,24,30,47,40.85,56.342867629,25.357132371
230,59,65,93,43,40,47,35,46,29,25,21,38,26,42,49,45.85,64.0195957722,27.6804042278
231,69,37,45,51,56,24,42,86,36,30,97,30,32,75,34,49.1,74.1974941085,24.0025058915
232,61,52,36,69,30,29,51,36,24,30,70,26,58,48,31,44.15,59.5406157327,28.7593842673
233,23,32,30,55,32,77,51,27,73,79,38,38,21,44,56,45.4,64.3803222201,26.4196777799
234,63,50,30,121,47,55,45,42,38,50,39,48,58,34,53,52.2,71.8592016757,32.5407983243
235,78,76,22,145,22,44,98,40,161,36,59,26,27,53,29,57.05,95.785914248,18.314085752
236,39,61,76,30,79,36,46,46,24,30,72,50,34,120,30,50.75,75.0136288343,26.4863711657
237,46,36,37,52,39,44,27,34,37,116,40,32,68,49,38,45.3,65.6963361003,24.9036638997
238,40,42,33,70,25,35,67,29,62,86,26,33,82,45,54,52.25,71.7837090557,32.7162909443
239,33,77,51,76,41,49,59,38,40,25,38,44,44,28,81,49.3,66.2553593452,32.3446406548
240,20,35,32,34,61,60,32,35,25,28,46,35,82,26,25,41.75,59.0913864558,24.4086135442
241,51,72,28,80,47,80,55,54,34,65,45,48,28,61,50,53.05,69.4639703013,36.6360296987
242,35,26,49,24,32,40,75,25,28,83,39,26,33,66,26,41.85,59.1895653439,24.5104346561
243,35,129,26,30,42,32,30,32,40,97,28,49,56,43,44,46.8,72.5162655879,21.0837344121
244,35,32,73,26,25,59,44,68,26,50,44,71,32,84,64,47,65.7672727458,28.2327272542
245,46,22,41,26,97,87,70,56,32,54,61,63,65,73,111,55.45,80.3021417059,30.5978582941
246,31,29,29,46,46,26,34,22,64,34,36,57,59,50,28,42,55.7381527909,28.2618472091
247,49,44,63,67,54,36,39,48,36,37,47,47,64,42,28,44.7,56.2717441709,33.1282558291
248,41,62,44,44,50,36,33,70,80,75,44,61,51,58,31,51.45,67.2962182106,35.6037817894
249,50,48,68,75,37,54,29,62,30,55,52,41,43,35,44,49.4,65.9732822401,32.8267177599
250,29,92,33,43,44,29,25,34,42,92,37,27,30,42,36,42.85,63.2080450928,22.4919549072
251,38,53,35,56,31,42,65,36,49,81,34,61,62,30,42,46.05,63.2805573114,28.8194426886
252,62,54,63,56,37,62,32,78,34,29,91,85,36,48,41,54.3,72.3236686493,36.2763313507
253,129,76,37,51,27,49,58,44,98,55,78,23,45,28,51,51.9,79.4220485774,24.3779514226
254,62,21,30,74,38,28,45,20,55,62,51,24,57,48,77,46.35,65.5751890689,27.1248109311
255,33,26,41,77,62,32,45,77,49,42,26,26,49,60,67,52.1,73.0256830361,31.1743169639
256,35,36,30,24,33,57,30,31,66,124,46,48,44,37,31,43.1,66.4776771616,19.7223228384
257,35,27,34,27,91,37,44,68,46,44,104,29,38,51,48,46.2,66.8259927991,25.5740072009
258,36,34,46,86,38,50,40,53,91,77,25,63,33,40,26,52,71.5932319142,32.4067680858
259,50,36,46,36,42,27,64,37,38,27,103,47,30,36,71,45.95,65.0024898221,26.8975101779
260,37,58,35,75,24,32,82,47,28,88,48,42,83,28,27,48.2,68.7031448166,27.6968551835
261,59,34,93,35,100,79,28,39,58,55,40,38,72,40,60,55.2,75.496745915,34.903254085
262,53,23,24,38,39,71,33,39,40,73,67,30,51,52,37,45.8,61.722840265,29.877159735
263,64,33,25,48,58,22,29,40,26,121,92,81,38,52,24,50,76.580562744,23.419437256
264,53,109,63,32,76,52,33,31,46,30,48,54,38,37,30,48.15,68.9909389626,27.3090610374
265,34,40,34,35,75,22,40,77,63,26,28,32,72,26,56,45.25,66.4529665253,24.0470334747
266,40,62,33,24,28,30,58,41,22,34,33,32,35,28,49,42.5,60.6673507034,24.3326492966
267,39,134,73,32,29,50,25,35,60,48,42,41,72,65,35,49.65,73.9253394469,25.3746605531
268,67,31,37,21,46,28,54,37,63,35,81,36,40,38,49,44.35,61.0966414543,27.6033585457
269,49,46,41,66,33,30,26,53,54,63,63,36,102,65,53,49.35,68.3964114592,30.3035885408
270,28,54,69,44,25,22,27,48,33,27,94,31,43,33,66,42.8,62.2113368937,23.3886631063
271,56,30,61,79,36,48,31,49,21,44,40,37,40,20,41,41.2,56.6190586101,25.7809413899
